pais_provincia;promedio_provincia;mediana_provincia;percentil10_provincia;percentil25_provincia;percentil75_provincia;percentil90_provincia
Argentina_Bs.As. G.B.A. Zona Norte;169619.4007;130000;60000;85000;210000;314897.2
Argentina_Bs.As. G.B.A. Zona Oeste;114376.3303;85000;54000;69000;119950;170400
Argentina_Bs.As. G.B.A. Zona Sur;120535.2642;89000;52000;68000;129900;198200
Argentina_Buenos Aires Costa Atlantica;105516.5815;79900;49000;62900;123900;200000
Argentina_Buenos Aires Interior;139372.0686;95000;49600;70000;149000;244000
Argentina_Capital Federal;236173.9465;133000;77000;95000;219999.25;460000
Argentina_Chaco;97000;85000;75300;78000;116250;138000
Argentina_Chubut;104366.6667;85000;55200;65000;150000;188100
Argentina_Cordoba;84307.38731;69999;39320;49700;98000;139999
Argentina_Corrientes;90700;90000;88000;90000;72000;106700
Argentina_Entre Rios;111877.7778;80250;47700;51500;117725;354900
Argentina_Jujuy;90300;85000;65500;72250;111250;115000
Argentina_Mendoza;98062.16216;72500;40000;55750;109925;190000
Argentina_Misiones;136307.6923;90000;50800;70000;185000;375600
Argentina_Neuquen;151991.1202;95000;56800;73000;141000;223580
Argentina_Rio Negro;128040.0096;120000;62000;78000;161675;215000
Argentina_Salta;83230.76923;82000;27000;62000;107500;142000
Argentina_San Juan;53700;54000;23000;28500;80000;84600
Argentina_San Luis;102800;97500;85000;90000;120000;127200
Argentina_Santa Fe;118343.1647;75000;48000;55000;120000;235000
Argentina_Tucuman;100800;100000;66500;87500;112000;146800
Colombia_Antioquia;97180.61175;77071;43490;57803;116983;169282
Colombia_Atlantico;98418.75549;81200;44041;57803;115607;172308.9
Colombia_Bolivar;189083.6512;148637;50922;68814;239472;454170
Colombia_Boyaca;200900;167500;117500;144250;260000;350000
Colombia_Cauca;168100;173000;122000;147500;187750;197200
Colombia_Cordoba;139300;134000;68500;100000;183750;217500
Colombia_Cundinamarca;192389.5077;141756;57803;89458;233966;385356
Colombia_Huila;139300;132500;106000;120000;157500;180900
Colombia_Magdalena;176218.3333;123865;58574;77484;253041.5;398512.2
Colombia_Meta;130150;120000;85200;110000;150000;198000
Colombia_Norte de Santander;65977.66667;53675;26699.4;33719;72942.5;151940.8
Colombia_Quindio;49351.14634;41288;25268.2;33031;52298.5;92485.8
Colombia_Risaralda;79910.00662;70190;37159;45417;90834;144233.6
Colombia_Santander;61397.97059;46793;30278;38536;59524;89458
Colombia_Tolima;72238.31579;71539;31654;44041;79273;99092
Colombia_Valle del Cauca;83494.30704;63309;33031;41288;96339;165153
