Id;pais;provincia_departamento;ciudad;property_type;operation_type;rooms;bedrooms;bathrooms;surface_total;currency;price
0;Argentina;Capital Federal;Villa Crespo;Departamento;Venta;2;1;1;37;USD;85000
1;Argentina;Capital Federal;Palermo;Departamento;Venta;6;4;4;300;USD;1590000
2;Colombia;Atlantico;Barranquilla;Apartamento;Venta;3;3;3;95;USD;85329
3;Colombia;Valle del Cauca;Cali;Apartamento;Venta;3;3;1;60;USD;22846
4;Argentina;Capital Federal;Balvanera;Departamento;Venta;3;2;1;45;USD;80000
5;Colombia;Santander;Floridablanca;Apartamento;Venta;3;3;2;75;USD;60556
6;Argentina;Bs.As. G.B.A. Zona Sur;La Plata;Departamento;Venta;3;2;1;87;USD;139000
7;Argentina;Capital Federal;Villa Crespo;Departamento;Venta;4;3;1;100;USD;174500
8;Colombia;Cundinamarca;Bogota D.C;Apartamento;Venta;3;3;2;93;USD;115607
9;Argentina;Bs.As. G.B.A. Zona Norte;Tigre;Departamento;Venta;3;2;2;99;USD;260000
10;Argentina;Capital Federal;Almagro;Departamento;Venta;2;1;1;56;USD;138000
11;Argentina;Capital Federal;Caballito;Departamento;Venta;2;1;1;42;USD;100000
12;Colombia;Risaralda;Pereira;Apartamento;Venta;3;3;3;121;USD;96339
13;Argentina;Buenos Aires Costa Atlantica;Monte Hermoso;Departamento;Venta;5;3;2;105;USD;260000
14;Argentina;Capital Federal;Recoleta;Departamento;Venta;2;1;1;57;USD;145000
15;Argentina;Buenos Aires Costa Atlantica;Mar del Plata;Departamento;Venta;2;1;1;33;USD;65900
16;Argentina;Buenos Aires Costa Atlantica;Mar del Plata;Departamento;Venta;2;1;1;35;USD;65900
17;Argentina;Capital Federal;Belgrano;Departamento;Venta;4;3;3;171;USD;1250000
18;Colombia;Cundinamarca;Bogota D.C;Apartamento;Venta;3;3;2;96;USD;121112
19;Argentina;Bs.As. G.B.A. Zona Sur;La Plata;Departamento;Venta;4;2;1;60;USD;59900
20;Argentina;Buenos Aires Costa Atlantica;Necochea;Departamento;Venta;2;1;1;39;USD;73000
21;Argentina;Capital Federal;Palermo;Departamento;Venta;2;1;1;33;USD;98000
22;Argentina;Capital Federal;Palermo;Departamento;Venta;3;2;1;80;USD;189000
23;Argentina;Neuquen;Confluencia;Departamento;Venta;5;2;1;115;USD;300000
24;Argentina;Capital Federal;Recoleta;Departamento;Venta;3;2;1;73;USD;342113
25;Colombia;Atlantico;Barranquilla;Apartamento;Venta;3;3;2;85;USD;56427
26;Argentina;Capital Federal;Recoleta;Departamento;Venta;3;2;1;75;USD;310000
27;Colombia;Atlantico;Barranquilla;Apartamento;Venta;3;3;2;103;USD;86705
28;Argentina;Capital Federal;Palermo;Departamento;Venta;4;3;2;75;USD;195000
29;Argentina;Capital Federal;San Telmo;Departamento;Venta;4;3;2;109;USD;228000
30;Argentina;Capital Federal;Recoleta;Departamento;Venta;5;2;2;178;USD;540000
31;Argentina;Buenos Aires Costa Atlantica;Mar del Plata;Departamento;Venta;2;1;2;77;USD;135000
32;Argentina;Buenos Aires Costa Atlantica;Pinamar;Departamento;Venta;1;1;1;30;USD;65000
33;Argentina;Buenos Aires Costa Atlantica;Mar del Plata;Departamento;Venta;2;1;1;67;USD;145000
34;Argentina;Capital Federal;Belgrano;Departamento;Venta;5;4;3;210;USD;745000
35;Argentina;Bs.As. G.B.A. Zona Sur;La Plata;Departamento;Venta;2;1;1;40;USD;65000
36;Colombia;Atlantico;Barranquilla;Apartamento;Venta;2;2;1;51;USD;45351
37;Argentina;Bs.As. G.B.A. Zona Oeste;Ituzainga;Departamento;Venta;2;1;1;48;USD;95000
38;Argentina;Capital Federal;Palermo;Departamento;Venta;2;1;1;40;USD;110000
39;Argentina;Cordoba;Cordoba;Departamento;Venta;2;1;1;45;USD;49800
40;Colombia;Atlantico;Barranquilla;Apartamento;Venta;3;3;2;75;USD;74319
41;Argentina;Capital Federal;Palermo;Departamento;Venta;2;1;1;33;USD;98000
42;Colombia;Cundinamarca;Bogota D.C;Apartamento;Venta;3;3;2;92;USD;107349
43;Argentina;Capital Federal;Villa Crespo;Departamento;Venta;1;1;1;42;USD;107322
44;Colombia;Atlantico;Barranquilla;Apartamento;Venta;3;3;3;112;USD;104597
45;Colombia;Antioquia;Envigado;Apartamento;Venta;3;3;3;63;USD;52298
